utterance_id,speaker_id,duration_s,reference,hypothesis,categories
369ede6b6e,c0b4e,4.0,अतिरिक्त सुविधाहरूको,अतिरिक्त सूइदाहरूको,oov_rare_vocabulary;phonetic_confusion
008520f056,c0b4e,5.3,अधिक भारी बाउन्ने,अदिक बारी बाउन्ने,oov_rare_vocabulary;phonetic_confusion
d92d49b8b1,c0b4e,2.9,अध्ययन गर्नमा तथा,अजन गर्नमा तथा,oov_rare_vocabulary;phonetic_confusion
8e6c9c50fb,c0b4e,4.7,अमेरिकी उपन्यासकार तथा लेखक,अमेरिकी उपन्यासकार तथालेकक,oov_rare_vocabulary;phonetic_confusion
792b69e1a2,c0b4e,3.7,अस्ट्रेलियन कोर बन्यो,अस्ट्रेलियन कोर बन्य,oov_rare_vocabulary
8561fc9dc0,c0b4e,6.4,आइतवार अथवा आदित्यवार,आइतवार अथवा आदित्यो वार,oov_rare_vocabulary
1c70df707e,c0b4e,3.9,आकार पुच्छरका रूपमा,आकार पुचरका रूपमा,oov_rare_vocabulary
890bbd5208,c0b4e,2.8,आठ हजार पाँच सय,१९५३३३,dialect_accent;noise_degradation;oov_rare_vocabulary;phonetic_confusion
14f37caf90,c0b4e,6.0,आदिका भक्तिरसले परिपाक,आदिका बक्तिरसले परिपाक,oov_rare_vocabulary;phonetic_confusion
da7da59da7,c0b4e,10.2,ईपू ८७१ वा वर्ष,ईपू ५५ वा बर्ष,oov_rare_vocabulary;phonetic_confusion
3115f13115,c0b4e,3.6,उनका बाबुको हिंसा,उनका बाबूको इंसा,oov_rare_vocabulary;phonetic_confusion
067eef8636,c0b4e,4.0,उनले आफ्नो राजनीतिक जीवनमा,उनले आफ्नो राजनीतिक जीवनमा,other
843d3a6147,c0b4e,3.3,उनले नेपाल प्रज्ञा,उनले नेपाल प्रज्या,oov_rare_vocabulary;phonetic_confusion
7e3a7304fa,c0b4e,3.8,कतिपय व्यक्तिले,कतिपाए व्यक्तिले,oov_rare_vocabulary;phonetic_confusion
8868e24710,c0b4e,4.8,काभ्रेको टुकुचा गाविसको,कावरेको चूँका गाविसको,oov_rare_vocabulary;phonetic_confusion
74d1f0c27b,c0b4e,2.5,कालो गुराँस,काल गोरास,noise_degradation;oov_rare_vocabulary;phonetic_confusion
1f8517a737,c0b4e,3.9,किताबमा प्रस्तुत सामग्रीहरू,कितामा प्रस्तुचामा ग्र्यहरू,noise_degradation;oov_rare_vocabulary;phonetic_confusion
3d71d004f1,c0b4e,3.5,कुनै ठाउँमा रहने,कुने ठामा रहने,oov_rare_vocabulary;phonetic_confusion
13451f960b,c0b4e,3.2,केन्द्रीय सल्लाहकार,घिन्रिय सल्नाकार,noise_degradation;oov_rare_vocabulary;phonetic_confusion
12bc4748aa,c0b4e,4.1,क्षेत्रीय कार्यालय छन्,स्रेच्त्रीकार्यालाई छन्,oov_rare_vocabulary;phonetic_confusion
32e48bd128,c0b4e,3.8,चिहानमा गाडिन्छ,जिहानमा गाडिन्छ,oov_rare_vocabulary;phonetic_confusion
37f8f29b00,c0b4e,4.8,चौधरीले कृषि तथा,क्रिषी तथा,dialect_accent;oov_rare_vocabulary;phonetic_confusion
3c64d80d13,c0b4e,3.7,जनगणनाका अनुसार,जन्गन्नाका अनूसार,noise_degradation;oov_rare_vocabulary;phonetic_confusion
d473b8a27c,c0b4e,3.5,जावी एकमात्र खेलाडी,जावी एक मात्र खेलाडी,oov_rare_vocabulary
39e8a03993,c0b4e,3.9,जिम्मेदारी समेत वहन,जिम्मेदारी सम्य बहन,oov_rare_vocabulary;phonetic_confusion
3111c42c6e,c0b4e,5.1,जिल्लामा सीमा नदीको,जिल्लामा सिमान न दिको,noise_degradation;oov_rare_vocabulary;phonetic_confusion
d81fc8e28a,c0b4e,4.6,जो ज्योतिष र शरीर,जो जोतिस र सरीर,oov_rare_vocabulary;phonetic_confusion
1942dc7cd2,c0b4e,4.5,ज्येष्ठा नक्षत्रमा जन्म,जस्ताना क्षेत्रमा जन्म,oov_rare_vocabulary;phonetic_confusion
71de923be5,c0b4e,3.9,डिनो मोरिया भारतीय,दिनो मोरिया बारतिय,oov_rare_vocabulary;phonetic_confusion
77e5f82f01,c0b4e,3.3,तथा अनिष्टकार धारा,तथा अनिस्तकार दारा,oov_rare_vocabulary;phonetic_confusion
87f45f2b53,c0b4e,5.0,त्यसलाई निरन्तरता दिएनन्,त्यसलाई निरन्तर्ता दिएनन,oov_rare_vocabulary
d9c900b8f6,c0b4e,3.6,त्यसैले उनलाई नेपाल,यसेले उनलाई नेपाल,oov_rare_vocabulary;phonetic_confusion
db7c003337,c0b4e,4.8,दिल्लीमा धेरै राजाहरूको,डिल्लीमा देरे राजाहरूको,oov_rare_vocabulary;phonetic_confusion
0b06d9191e,c0b4e,2.7,देव पनि हुन्,देवा पनि उन,oov_rare_vocabulary;phonetic_confusion
726e73a9fb,c0b4e,2.8,धर्महरू आफ्नै,दर्महर्व आफ्नै,oov_rare_vocabulary;phonetic_confusion
da21b7beed,c0b4e,3.0,धेरै महत्त्वपूर्ण छ,देरै महत्त पूर्नसा,noise_degradation;oov_rare_vocabulary;phonetic_confusion
106c72c095,c0b4e,3.2,ध्यान दिइनेछ,ज्यान दिईन्ने छ,noise_degradation;oov_rare_vocabulary;phonetic_confusion
8594b63d80,c0b4e,3.4,न कुनै अणु हो,नकुने अनु हो,oov_rare_vocabulary;phonetic_confusion
7027c4949e,c0b4e,3.9,नारायणको मन्दिर रहेको,नारायनको मन्दी रहेको,oov_rare_vocabulary;phonetic_confusion
12ac3fb6d9,c0b4e,2.4,निर्णय लिए,निर्नायल यलिए,noise_degradation;oov_rare_vocabulary;phonetic_confusion
398ca9b579,c0b4e,2.6,नै यस्तो भयो,नै यस्तो भयो,other
7414499248,c0b4e,4.7,पहिलो टेलिफिल्म महको,पहिलो तेली फिलिममहको,oov_rare_vocabulary;phonetic_confusion
16a278ced5,c0b4e,3.8,पाइने मुसाको,पाइने मूसाको,oov_rare_vocabulary;phonetic_confusion
1007d6ff37,c0b4e,4.0,पुगेका छन्,पुगिएका छन्,oov_rare_vocabulary;phonetic_confusion
81465bab45,c0b4e,3.7,पूर्वी एशियाका नैं,पूर्वी एस्याका न नै,noise_degradation;oov_rare_vocabulary;phonetic_confusion
da1ef1d0c3,c0b4e,5.1,प्राय निश्चित तारतम्य,प्रायनिस्थार पम्य,noise_degradation;oov_rare_vocabulary;phonetic_confusion
1de99905bb,c0b4e,4.1,फिर्ता बोलाउन सुरुवात,फिर्ता बलाउन सूर्वात,oov_rare_vocabulary;phonetic_confusion
de87be87ff,c0b4e,2.8,बस्ती बसाउने,वस्ति बस आउने,noise_degradation;oov_rare_vocabulary;phonetic_confusion
197b94deb8,c0b4e,3.1,बारेमा जानकारी छ,वार्यमा जानकारी छ,oov_rare_vocabulary;phonetic_confusion
1f5eff30f1,c0b4e,3.1,बोट नेपालको महाभारत,वोटनेपालको महाबारत,noise_degradation;oov_rare_vocabulary;phonetic_confusion
0fe3c78680,c0b4e,2.8,भएको र जापानी,भएको र जापान,oov_rare_vocabulary
174af0fcf2,c0b4e,4.3,भरतमुनि एकजना,परतमूनी एक जाना,noise_degradation;oov_rare_vocabulary;phonetic_confusion
7d84d2f87d,c0b4e,3.5,भारतीय मूलकी अमेरिकी,भारतिय मूलुकी अमेरिकी,oov_rare_vocabulary;phonetic_confusion
d4f0ad05d9,c0b4e,4.0,महत्त्वपूर्ण पक्ष मानिन्छ,महत्त पुर्ना पच्चामानिन्छ,noise_degradation;oov_rare_vocabulary;phonetic_confusion
0636c7bef7,c0b4e,3.5,महिला तथा बालबालिकाहरूको,महिलातथा बालबालीका आरूँँको,noise_degradation;oov_rare_vocabulary;phonetic_confusion
850fcfe936,c0b4e,5.0,मात्र गरेनन् बाँकेको,मात्र गरेननमाकेको,oov_rare_vocabulary;phonetic_confusion
88080c4f26,c0b4e,3.2,मेरो विचारमा यो,मेरो विचारमा यो,other
d7bb62bc80,c0b4e,3.7,यदि कुनै सामग्रीको,एदिकुनै सामा ग्रिको,noise_degradation;oov_rare_vocabulary;phonetic_confusion
1552d200a8,c0b4e,3.1,यसको प्रयोग हुन्छ,यसको प्रय गुन्छ,oov_rare_vocabulary;phonetic_confusion
06aa32bd2f,c0b4e,3.6,यस व्यवस्थाबाट जङ्गी,यस र्योस्थाबाट जङ्गी,oov_rare_vocabulary;phonetic_confusion
3153ef9297,c0b4e,3.1,यस्तो कुनै ग्रन्थ,स्तकुनाई ग्रन्था,noise_degradation;oov_rare_vocabulary;phonetic_confusion
83518ac30c,c0b4e,3.2,या कुमारी देवीको,या कुमारी देवीको,other
345f9e08dd,c0b4e,3.5,यो सङ्क्रमण सीधा,यो संग्रमन सिदा,oov_rare_vocabulary;phonetic_confusion
8d3169cc31,c0b4e,3.5,र एक अन्य फिल्मको,र एक अन्य फिल्मको,other
19b3e4dc58,c0b4e,4.3,र बाहिड राई बोलिन्छ,र बाहिट राई बोझुन्छ,oov_rare_vocabulary;phonetic_confusion
7dc96755d1,c0b4e,4.7,रसायन चिकित्साद्वारा,रसायन जिगित्सा द्वारा,noise_degradation;oov_rare_vocabulary;phonetic_confusion
14995fad3b,c0b4e,3.6,राजकाज गर्ने काममा,राजकास गन्ने काममा,oov_rare_vocabulary;phonetic_confusion
752fed6774,c0b4e,4.6,राजकीय प्रज्ञा प्रतिष्ठानको,रासकीय प्रङ्या पतिस्थानको,noise_degradation;oov_rare_vocabulary;phonetic_confusion
830dc9c54b,c0b4e,3.5,लेख पहिल्यै थियो,लेक पहिल्ले यी चियो,noise_degradation;oov_rare_vocabulary;phonetic_confusion
8198bb6c41,c0b4e,5.2,विमानहरू मात्र अवतरण,विमानहरूमात्र अवतरन,noise_degradation;oov_rare_vocabulary;phonetic_confusion
76365e5adc,c0b4e,2.7,विशेषता छ,विष्यस तासा,noise_degradation;oov_rare_vocabulary;phonetic_confusion
18beb42c04,c0b4e,5.3,शब्दमा विकार भई,सब्दमा विकार भई,oov_rare_vocabulary;phonetic_confusion
71a3225810,c0b4e,5.9,श्रीकृष्णद्वारा नरकासुरको,स्रिकृस्न द्वारानर्का सूरको,noise_degradation;oov_rare_vocabulary;phonetic_confusion
8d8670953f,c0b4e,3.4,सक्रिय मित्रहरू भेट्न,सक्रिय मित्रहरू पेट्न,oov_rare_vocabulary;phonetic_confusion
